SUBDIVISION,YEAR,ANNUAL
Arunachal Pradesh,1923,3507.5
Arunachal Pradesh,1924,4450.5
Arunachal Pradesh,1925,4439.8
Arunachal Pradesh,1926,3521.6
Arunachal Pradesh,1927,5253.200000000002
Arunachal Pradesh,1928,5272.700000000002
Arunachal Pradesh,1929,4320.1
Arunachal Pradesh,1930,4334.299999999998
Arunachal Pradesh,1931,4872.0999999999985
Arunachal Pradesh,1932,4850.899999999999
Arunachal Pradesh,1933,3773.4
Arunachal Pradesh,1934,4575.6
Arunachal Pradesh,1935,4173.499999999999
Arunachal Pradesh,1936,4788.700000000002
Arunachal Pradesh,1937,3375.1
Arunachal Pradesh,1938,6129.100000000001
Arunachal Pradesh,1939,3898.6
Arunachal Pradesh,1940,4099.5
Arunachal Pradesh,1941,4220.2
Arunachal Pradesh,1942,3828.299999999999
Arunachal Pradesh,1943,4326.6
Arunachal Pradesh,1944,3904.3
Arunachal Pradesh,1945,3649.2
Arunachal Pradesh,1946,4011.2
Arunachal Pradesh,1947,4369.0999999999985
Arunachal Pradesh,1948,6331.0999999999985
Arunachal Pradesh,1949,4874.8
Arunachal Pradesh,1950,2621.247704447633
Arunachal Pradesh,1951,3354.3
Arunachal Pradesh,1952,2396.1
Arunachal Pradesh,1953,2675.714712918661
Arunachal Pradesh,1957,3843.93764920706
Arunachal Pradesh,1958,5063.5
Arunachal Pradesh,1959,4195.5
Arunachal Pradesh,1960,3709.400000000001
Arunachal Pradesh,1961,3676.5
Arunachal Pradesh,1962,4810.825542419168
Arunachal Pradesh,1963,4138
Arunachal Pradesh,1964,4959.299999999998
Arunachal Pradesh,1965,2196.8
Arunachal Pradesh,1966,2209.7000000000007
Arunachal Pradesh,1967,1668.5
Arunachal Pradesh,1968,2138.9
Arunachal Pradesh,1969,1877.8
Arunachal Pradesh,1970,1973.4
Arunachal Pradesh,1971,2184.600000000001
Arunachal Pradesh,1972,2281.3
Arunachal Pradesh,1973,2457.6
Arunachal Pradesh,1974,3064
Arunachal Pradesh,1975,2213.4
Arunachal Pradesh,1976,2419.6
Arunachal Pradesh,1977,3774.4
Arunachal Pradesh,1978,2531
Arunachal Pradesh,1979,2773.7
Arunachal Pradesh,1980,3215.4000000000005
Arunachal Pradesh,1981,2790.8
Arunachal Pradesh,1982,2779.4
Arunachal Pradesh,1983,3335.1
Arunachal Pradesh,1984,3278.0999999999995
Arunachal Pradesh,1985,3266.4
Arunachal Pradesh,1986,2495.6
Arunachal Pradesh,1987,3433.2999999999993
Arunachal Pradesh,1988,4155.4
Arunachal Pradesh,1989,3281.7
Arunachal Pradesh,1990,3604.1
Arunachal Pradesh,1991,3434.5000000000005
Arunachal Pradesh,1992,2706.8
Arunachal Pradesh,1993,3348.9
Arunachal Pradesh,1994,2287.3
Arunachal Pradesh,1995,3068.8
Arunachal Pradesh,1996,2520.6
Arunachal Pradesh,1997,2274.9
Arunachal Pradesh,1998,3616.7
Arunachal Pradesh,1999,2316.7000000000007
Arunachal Pradesh,2000,2596.9000000000005
Arunachal Pradesh,2001,2035.9
Arunachal Pradesh,2002,2389.3
Arunachal Pradesh,2003,2451.7
Arunachal Pradesh,2004,2545.8
Arunachal Pradesh,2005,2335.5
Arunachal Pradesh,2006,2259.399999999999
Arunachal Pradesh,2007,3020.6000000000013
Arunachal Pradesh,2008,2244.4999999999995
Arunachal Pradesh,2009,1750.0000000000002
Arunachal Pradesh,2010,2855.5999999999995
Arunachal Pradesh,2011,2193.5999999999995
Arunachal Pradesh,2012,3440.4999999999995
Arunachal Pradesh,2013,2042.9
Arunachal Pradesh,2014,2403.0999999999995
Arunachal Pradesh,2015,2767.5
Arunachal Pradesh,2016,2706.8
Arunachal Pradesh,2017,2745.5
Assam & Meghalaya,1901,2498.6999999999994
Assam & Meghalaya,1902,2952.1000000000013
Assam & Meghalaya,1903,2544.600000000001
Assam & Meghalaya,1904,2664.2000000000007
Assam & Meghalaya,1905,2790.700000000001
Assam & Meghalaya,1906,2663.1999999999994
Assam & Meghalaya,1907,2521.3
Assam & Meghalaya,1908,2277.8
Assam & Meghalaya,1909,2377
Assam & Meghalaya,1910,2887.3
Assam & Meghalaya,1911,3096.1000000000013
Assam & Meghalaya,1912,2743.4
Assam & Meghalaya,1913,2760.4999999999995
Assam & Meghalaya,1914,2343.9
Assam & Meghalaya,1915,3165.2
Assam & Meghalaya,1916,2601.0000000000005
Assam & Meghalaya,1917,2520
Assam & Meghalaya,1918,3106.8
Assam & Meghalaya,1919,2344.0999999999995
Assam & Meghalaya,1920,2623.7000000000007
Assam & Meghalaya,1921,2999.5
Assam & Meghalaya,1922,2262.0000000000005
Assam & Meghalaya,1923,2440.4
Assam & Meghalaya,1924,2691.6
Assam & Meghalaya,1925,2550.4999999999995
Assam & Meghalaya,1926,2511.5999999999995
Assam & Meghalaya,1927,2792.9
Assam & Meghalaya,1928,2634.1
Assam & Meghalaya,1929,2953.8
Assam & Meghalaya,1930,2550.8
Assam & Meghalaya,1931,2800.1
Assam & Meghalaya,1932,2888.6000000000013
Assam & Meghalaya,1933,2339.1
Assam & Meghalaya,1934,3074.800000000001
Assam & Meghalaya,1935,2678.5
Assam & Meghalaya,1936,2671.3
Assam & Meghalaya,1937,2324.600000000001
Assam & Meghalaya,1938,2786.5
Assam & Meghalaya,1939,2401.5000000000005
Assam & Meghalaya,1940,2451.7
Assam & Meghalaya,1941,2709.4
Assam & Meghalaya,1942,2677.100000000001
Assam & Meghalaya,1943,2703.8
Assam & Meghalaya,1944,2524.4
Assam & Meghalaya,1945,2665.7
Assam & Meghalaya,1946,2679.5000000000005
Assam & Meghalaya,1947,2643.2000000000007
Assam & Meghalaya,1948,3185.5000000000005
Assam & Meghalaya,1949,2983.3
Assam & Meghalaya,1950,2392.4
Assam & Meghalaya,1951,2613.9
Assam & Meghalaya,1952,2851.2999999999993
Assam & Meghalaya,1953,2560
Assam & Meghalaya,1954,2859.200000000001
Assam & Meghalaya,1955,2761.200000000001
Assam & Meghalaya,1956,2802.9000000000005
Assam & Meghalaya,1957,2256.9999999999995
Assam & Meghalaya,1958,2626.5
Assam & Meghalaya,1959,2535.7
Assam & Meghalaya,1960,2342.2000000000007
Assam & Meghalaya,1961,2195.4
Assam & Meghalaya,1962,2296
Assam & Meghalaya,1963,2511.7
Assam & Meghalaya,1964,2729.7000000000007
Assam & Meghalaya,1965,2398.9
Assam & Meghalaya,1966,2789.3
Assam & Meghalaya,1967,2123.3
Assam & Meghalaya,1968,2530.8
Assam & Meghalaya,1969,2332.3
Assam & Meghalaya,1970,3048.5
Assam & Meghalaya,1971,2315.1
Assam & Meghalaya,1972,2379.100000000001
Assam & Meghalaya,1973,2672.1
Assam & Meghalaya,1974,3403.6
Assam & Meghalaya,1975,2270.6
Assam & Meghalaya,1976,1956
Assam & Meghalaya,1977,2616.7
Assam & Meghalaya,1978,2011.8
Assam & Meghalaya,1979,2188.4
Assam & Meghalaya,1980,2289.2
Assam & Meghalaya,1981,2079.3
Assam & Meghalaya,1982,2382.3
Assam & Meghalaya,1983,2620.2
Assam & Meghalaya,1984,3156.8999999999987
Assam & Meghalaya,1985,2801.700000000001
Assam & Meghalaya,1986,2592.7
Assam & Meghalaya,1987,2921.6000000000013
Assam & Meghalaya,1988,3261.700000000001
Assam & Meghalaya,1989,2682.3
Assam & Meghalaya,1990,2771.200000000001
Assam & Meghalaya,1991,2838
Assam & Meghalaya,1992,2259.7
Assam & Meghalaya,1993,2879.2
Assam & Meghalaya,1994,2121.3
Assam & Meghalaya,1995,2885.9999999999995
Assam & Meghalaya,1996,2466.8
Assam & Meghalaya,1997,2372.2000000000007
Assam & Meghalaya,1998,2803.1000000000013
Assam & Meghalaya,1999,2594.1
Assam & Meghalaya,2000,2486.8
Assam & Meghalaya,2001,2178.6
Assam & Meghalaya,2002,2392.6
Assam & Meghalaya,2003,2434.2000000000007
Assam & Meghalaya,2004,2994.2
Assam & Meghalaya,2005,2468.2000000000007
Assam & Meghalaya,2006,1898.7
Assam & Meghalaya,2007,2752.7
Assam & Meghalaya,2008,2339.6
Assam & Meghalaya,2009,2068.2
Assam & Meghalaya,2010,2711.4
Assam & Meghalaya,2011,1743.5000000000002
Assam & Meghalaya,2012,2609.4
Assam & Meghalaya,2013,1816.5
Assam & Meghalaya,2014,2206.2
Assam & Meghalaya,2015,2471
Assam & Meghalaya,2016,2266.7
Assam & Meghalaya,2017,2711.600000000001
Naga Mani Mizo Tripura,1901,2168.3
Naga Mani Mizo Tripura,1902,2174.9
Naga Mani Mizo Tripura,1903,2230.9
Naga Mani Mizo Tripura,1904,2519.600000000001
Naga Mani Mizo Tripura,1905,2527.5
Naga Mani Mizo Tripura,1906,2514.5
Naga Mani Mizo Tripura,1907,2121.8
Naga Mani Mizo Tripura,1908,2319.2000000000007
Naga Mani Mizo Tripura,1909,2308.8
Naga Mani Mizo Tripura,1910,2268.1
Naga Mani Mizo Tripura,1911,2479.800000000001
Naga Mani Mizo Tripura,1912,2308.9
Naga Mani Mizo Tripura,1913,2613.1
Naga Mani Mizo Tripura,1914,2529.100000000001
Naga Mani Mizo Tripura,1915,2819.9
Naga Mani Mizo Tripura,1916,2554.9
Naga Mani Mizo Tripura,1917,2222.2000000000007
Naga Mani Mizo Tripura,1918,3013.200000000001
Naga Mani Mizo Tripura,1919,2048.1
Naga Mani Mizo Tripura,1920,2375.6999999999994
Naga Mani Mizo Tripura,1921,2638.1999999999994
Naga Mani Mizo Tripura,1922,2462.7000000000007
Naga Mani Mizo Tripura,1923,2685.5
Naga Mani Mizo Tripura,1924,2701.6999999999994
Naga Mani Mizo Tripura,1925,2447.4
Naga Mani Mizo Tripura,1926,2463.2
Naga Mani Mizo Tripura,1927,2887.3
Naga Mani Mizo Tripura,1928,2472.4
Naga Mani Mizo Tripura,1929,2859.4000000000005
Naga Mani Mizo Tripura,1930,2487.4
Naga Mani Mizo Tripura,1931,2461.2
Naga Mani Mizo Tripura,1932,2761.8
Naga Mani Mizo Tripura,1933,2451.8
Naga Mani Mizo Tripura,1934,3040.800000000001
Naga Mani Mizo Tripura,1935,2543.3
Naga Mani Mizo Tripura,1936,2917.2
Naga Mani Mizo Tripura,1937,2741.7
Naga Mani Mizo Tripura,1938,2971.7
Naga Mani Mizo Tripura,1939,2608.4
Naga Mani Mizo Tripura,1940,2526.9
Naga Mani Mizo Tripura,1941,2966.1
Naga Mani Mizo Tripura,1942,2680.8
Naga Mani Mizo Tripura,1943,2427.9999999999995
Naga Mani Mizo Tripura,1944,2877.2
Naga Mani Mizo Tripura,1945,3051.8
Naga Mani Mizo Tripura,1946,3036.1
Naga Mani Mizo Tripura,1947,3210.4999999999995
Naga Mani Mizo Tripura,1948,2821.9999999999995
Naga Mani Mizo Tripura,1949,2976.3
Naga Mani Mizo Tripura,1950,2422.9
Naga Mani Mizo Tripura,1951,2609.4
Naga Mani Mizo Tripura,1952,2810.9
Naga Mani Mizo Tripura,1953,2661.6999999999994
Naga Mani Mizo Tripura,1954,2904.9999999999995
Naga Mani Mizo Tripura,1955,2865.3
Naga Mani Mizo Tripura,1956,3022.7
Naga Mani Mizo Tripura,1957,2303.9
Naga Mani Mizo Tripura,1958,1968.5
Naga Mani Mizo Tripura,1959,2327.6
Naga Mani Mizo Tripura,1960,1800
Naga Mani Mizo Tripura,1961,1901.2
Naga Mani Mizo Tripura,1962,1822.5
Naga Mani Mizo Tripura,1963,2970
Naga Mani Mizo Tripura,1964,2328.8
Naga Mani Mizo Tripura,1965,2031
Naga Mani Mizo Tripura,1966,2478.7
Naga Mani Mizo Tripura,1967,2230
Naga Mani Mizo Tripura,1968,2109.9999999999995
Naga Mani Mizo Tripura,1969,3610.1
Naga Mani Mizo Tripura,1970,4316.3
Naga Mani Mizo Tripura,1971,3080.9
Naga Mani Mizo Tripura,1972,1353.9
Naga Mani Mizo Tripura,1973,2106.1
Naga Mani Mizo Tripura,1974,2329.600000000001
Naga Mani Mizo Tripura,1975,2209.8
Naga Mani Mizo Tripura,1976,2651.3
Naga Mani Mizo Tripura,1977,2358.5999999999995
Naga Mani Mizo Tripura,1978,2150.6
Naga Mani Mizo Tripura,1979,1749.1999999999994
Naga Mani Mizo Tripura,1980,2304.9
Naga Mani Mizo Tripura,1981,2072.3
Naga Mani Mizo Tripura,1982,2027.5
Naga Mani Mizo Tripura,1983,2588.0999999999995
Naga Mani Mizo Tripura,1984,2454
Naga Mani Mizo Tripura,1985,2105.3
Naga Mani Mizo Tripura,1986,2342.2
Naga Mani Mizo Tripura,1987,2361.2
Naga Mani Mizo Tripura,1988,2820.200000000001
Naga Mani Mizo Tripura,1989,2359.100000000001
Naga Mani Mizo Tripura,1990,2582.2
Naga Mani Mizo Tripura,1991,2851.9000000000005
Naga Mani Mizo Tripura,1992,2221.5
Naga Mani Mizo Tripura,1993,2881.700000000001
Naga Mani Mizo Tripura,1994,1712.5
Naga Mani Mizo Tripura,1995,2340.1
Naga Mani Mizo Tripura,1996,2194.6
Naga Mani Mizo Tripura,1997,2212.100000000001
Naga Mani Mizo Tripura,1998,2225.4000000000005
Naga Mani Mizo Tripura,1999,2232.9
Naga Mani Mizo Tripura,2000,2363.9
Naga Mani Mizo Tripura,2001,2149.2
Naga Mani Mizo Tripura,2002,2242.4
Naga Mani Mizo Tripura,2003,2162.3
Naga Mani Mizo Tripura,2004,2353.7000000000007
Naga Mani Mizo Tripura,2005,1836.7
Naga Mani Mizo Tripura,2006,1872.2
Naga Mani Mizo Tripura,2007,2538.3
Naga Mani Mizo Tripura,2008,1748.9
Naga Mani Mizo Tripura,2009,1737.7
Naga Mani Mizo Tripura,2010,2295.2
Naga Mani Mizo Tripura,2011,1892.2
Naga Mani Mizo Tripura,2012,1923.000000000001
Naga Mani Mizo Tripura,2013,1557.1
Naga Mani Mizo Tripura,2014,1599.9
Naga Mani Mizo Tripura,2015,1922.2000000000005
Naga Mani Mizo Tripura,2016,1956.4
Naga Mani Mizo Tripura,2017,2805.3
Sub Himalayan West Bengal & Sikkim,1901,2113.100000000001
Sub Himalayan West Bengal & Sikkim,1902,3180.3
Sub Himalayan West Bengal & Sikkim,1903,2404.3
Sub Himalayan West Bengal & Sikkim,1904,2169.9
Sub Himalayan West Bengal & Sikkim,1905,3004.9999999999995
Sub Himalayan West Bengal & Sikkim,1906,2617.9
Sub Himalayan West Bengal & Sikkim,1907,2530
Sub Himalayan West Bengal & Sikkim,1908,1988.2
Sub Himalayan West Bengal & Sikkim,1909,2670.2000000000007
Sub Himalayan West Bengal & Sikkim,1910,3046.0999999999995
Sub Himalayan West Bengal & Sikkim,1911,3194.1000000000013
Sub Himalayan West Bengal & Sikkim,1912,2793.7
Sub Himalayan West Bengal & Sikkim,1913,2934.9
Sub Himalayan West Bengal & Sikkim,1914,2414.300000000001
Sub Himalayan West Bengal & Sikkim,1915,2504.9999999999995
Sub Himalayan West Bengal & Sikkim,1916,3476.8
Sub Himalayan West Bengal & Sikkim,1917,2841.8
Sub Himalayan West Bengal & Sikkim,1918,2981.7
Sub Himalayan West Bengal & Sikkim,1919,2544.4
Sub Himalayan West Bengal & Sikkim,1920,2884.1
Sub Himalayan West Bengal & Sikkim,1921,3513.3
Sub Himalayan West Bengal & Sikkim,1922,3001.7
Sub Himalayan West Bengal & Sikkim,1923,2488.9
Sub Himalayan West Bengal & Sikkim,1924,2950.8
Sub Himalayan West Bengal & Sikkim,1925,2886.5000000000005
Sub Himalayan West Bengal & Sikkim,1926,2637.600000000001
Sub Himalayan West Bengal & Sikkim,1927,2732.2000000000007
Sub Himalayan West Bengal & Sikkim,1928,2869.0000000000005
Sub Himalayan West Bengal & Sikkim,1929,2931.3
Sub Himalayan West Bengal & Sikkim,1930,2184.2000000000007
Sub Himalayan West Bengal & Sikkim,1931,2876.3999999999987
Sub Himalayan West Bengal & Sikkim,1932,2715.6
Sub Himalayan West Bengal & Sikkim,1933,2514.1
Sub Himalayan West Bengal & Sikkim,1934,2612.9000000000005
Sub Himalayan West Bengal & Sikkim,1935,2785.1000000000013
Sub Himalayan West Bengal & Sikkim,1936,2660.3
Sub Himalayan West Bengal & Sikkim,1937,2568.3
Sub Himalayan West Bengal & Sikkim,1938,3249.200000000001
Sub Himalayan West Bengal & Sikkim,1939,2591.0000000000005
Sub Himalayan West Bengal & Sikkim,1940,2320.1999999999994
Sub Himalayan West Bengal & Sikkim,1941,2717.9
Sub Himalayan West Bengal & Sikkim,1942,2365.3
Sub Himalayan West Bengal & Sikkim,1943,2917.6000000000013
Sub Himalayan West Bengal & Sikkim,1944,2583.2
Sub Himalayan West Bengal & Sikkim,1945,2755.4000000000005
Sub Himalayan West Bengal & Sikkim,1946,2768.4
Sub Himalayan West Bengal & Sikkim,1947,2534.2
Sub Himalayan West Bengal & Sikkim,1948,2936.5
Sub Himalayan West Bengal & Sikkim,1949,3287.6
Sub Himalayan West Bengal & Sikkim,1950,2762.6
Sub Himalayan West Bengal & Sikkim,1951,2683.2
Sub Himalayan West Bengal & Sikkim,1952,3270.9
Sub Himalayan West Bengal & Sikkim,1953,2594
Sub Himalayan West Bengal & Sikkim,1954,3055.7
Sub Himalayan West Bengal & Sikkim,1955,2992.8
Sub Himalayan West Bengal & Sikkim,1956,2885.4
Sub Himalayan West Bengal & Sikkim,1957,2225.5
Sub Himalayan West Bengal & Sikkim,1958,2820.2
Sub Himalayan West Bengal & Sikkim,1959,2580.2
Sub Himalayan West Bengal & Sikkim,1960,2610.4
Sub Himalayan West Bengal & Sikkim,1961,2304.2
Sub Himalayan West Bengal & Sikkim,1962,2521.8
Sub Himalayan West Bengal & Sikkim,1963,2604.8
Sub Himalayan West Bengal & Sikkim,1964,2981.5
Sub Himalayan West Bengal & Sikkim,1965,2762.7999999999993
Sub Himalayan West Bengal & Sikkim,1966,2515.4000000000005
Sub Himalayan West Bengal & Sikkim,1967,2860.5
Sub Himalayan West Bengal & Sikkim,1968,3378.8
Sub Himalayan West Bengal & Sikkim,1969,2424.8
Sub Himalayan West Bengal & Sikkim,1970,2702.2
Sub Himalayan West Bengal & Sikkim,1971,3226.9
Sub Himalayan West Bengal & Sikkim,1972,2414.600000000001
Sub Himalayan West Bengal & Sikkim,1973,2804.6000000000013
Sub Himalayan West Bengal & Sikkim,1974,3341.5000000000005
Sub Himalayan West Bengal & Sikkim,1975,2663.8
Sub Himalayan West Bengal & Sikkim,1976,2793.9999999999995
Sub Himalayan West Bengal & Sikkim,1977,2906.4000000000005
Sub Himalayan West Bengal & Sikkim,1978,2377.9000000000005
Sub Himalayan West Bengal & Sikkim,1979,2511.7
Sub Himalayan West Bengal & Sikkim,1980,3148.6
Sub Himalayan West Bengal & Sikkim,1981,2969.3
Sub Himalayan West Bengal & Sikkim,1982,2337.5
Sub Himalayan West Bengal & Sikkim,1983,2838.6999999999994
Sub Himalayan West Bengal & Sikkim,1984,2748.4
Sub Himalayan West Bengal & Sikkim,1985,3037.9
Sub Himalayan West Bengal & Sikkim,1986,2365.4
Sub Himalayan West Bengal & Sikkim,1987,3185.4999999999995
Sub Himalayan West Bengal & Sikkim,1988,3141.5
Sub Himalayan West Bengal & Sikkim,1989,2854.5999999999995
Sub Himalayan West Bengal & Sikkim,1990,3565.4
Sub Himalayan West Bengal & Sikkim,1991,3072.200000000001
Sub Himalayan West Bengal & Sikkim,1992,2358.9
Sub Himalayan West Bengal & Sikkim,1993,2895.9
Sub Himalayan West Bengal & Sikkim,1994,2127.1
Sub Himalayan West Bengal & Sikkim,1995,3557.6999999999994
Sub Himalayan West Bengal & Sikkim,1996,2800.200000000001
Sub Himalayan West Bengal & Sikkim,1997,2551.4000000000005
Sub Himalayan West Bengal & Sikkim,1998,3655.2
Sub Himalayan West Bengal & Sikkim,1999,3323.3
Sub Himalayan West Bengal & Sikkim,2000,2908.1
Sub Himalayan West Bengal & Sikkim,2001,2612.600000000001
Sub Himalayan West Bengal & Sikkim,2002,2546.9
Sub Himalayan West Bengal & Sikkim,2003,2723
Sub Himalayan West Bengal & Sikkim,2004,2714.8
Sub Himalayan West Bengal & Sikkim,2005,2807.7
Sub Himalayan West Bengal & Sikkim,2006,2262.100000000001
Sub Himalayan West Bengal & Sikkim,2007,2638.7000000000007
Sub Himalayan West Bengal & Sikkim,2008,2689.8
Sub Himalayan West Bengal & Sikkim,2009,2324.7
Sub Himalayan West Bengal & Sikkim,2010,2612.5
Sub Himalayan West Bengal & Sikkim,2011,2418.8
Sub Himalayan West Bengal & Sikkim,2012,2632.3
Sub Himalayan West Bengal & Sikkim,2013,2406.1
Sub Himalayan West Bengal & Sikkim,2014,2322.5000000000005
Sub Himalayan West Bengal & Sikkim,2015,2518.5
Sub Himalayan West Bengal & Sikkim,2016,2624.8
Sub Himalayan West Bengal & Sikkim,2017,2684.8
Gangetic West Bengal,1901,1487.7
Gangetic West Bengal,1902,1347.6
Gangetic West Bengal,1903,1354.3
Gangetic West Bengal,1904,1383.0999999999997
Gangetic West Bengal,1905,1667
Gangetic West Bengal,1906,1395.5000000000002
Gangetic West Bengal,1907,1337.1
Gangetic West Bengal,1908,1399.8000000000006
Gangetic West Bengal,1909,1697.7
Gangetic West Bengal,1910,1385.9
Gangetic West Bengal,1911,1264.9
Gangetic West Bengal,1912,1347.4
Gangetic West Bengal,1913,1826.8
Gangetic West Bengal,1914,1383.8000000000006
Gangetic West Bengal,1915,1310.3
Gangetic West Bengal,1916,1600.5
Gangetic West Bengal,1917,1775.7
Gangetic West Bengal,1918,1395.3
Gangetic West Bengal,1919,1482.3
Gangetic West Bengal,1920,1363.4999999999998
Gangetic West Bengal,1921,1300.2
Gangetic West Bengal,1922,1655.7
Gangetic West Bengal,1923,1285.2000000000005
Gangetic West Bengal,1924,1266.4999999999998
Gangetic West Bengal,1925,1273.7
Gangetic West Bengal,1926,1705.2
Gangetic West Bengal,1927,1190.6999999999996
Gangetic West Bengal,1928,1625
Gangetic West Bengal,1929,1557.4
Gangetic West Bengal,1930,1380.999999999999
Gangetic West Bengal,1931,1475.7
Gangetic West Bengal,1932,1306.8000000000004
Gangetic West Bengal,1933,1867.0999999999997
Gangetic West Bengal,1934,1117.6
Gangetic West Bengal,1935,1015.1
Gangetic West Bengal,1936,1505.7
Gangetic West Bengal,1937,1522.5000000000002
